language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Luiseno	lui	lui		http://purl.obolibrary.org/obo/OMRSE_00000733	LUI
Judeo-Arabic	jrb	jrb		http://purl.obolibrary.org/obo/OMRSE_00000685	JRB
Kurukh	kru	kru		http://purl.obolibrary.org/obo/OMRSE_00000712	KRU
Kumyk	kum	kum		http://purl.obolibrary.org/obo/OMRSE_00000714	KUM
Manx	glv	glv	gv	http://purl.obolibrary.org/obo/OMRSE_00000641	GLV
Burmese	mya	bur	my	http://purl.obolibrary.org/obo/OMRSE_00000560	MYA
Aromanian	rup	rup		http://purl.obolibrary.org/obo/OMRSE_00000819	RUP
Bambara	bam	bam	bm	http://purl.obolibrary.org/obo/OMRSE_00000540	BAM
Luba-Katanga	lub	lub	lu	http://purl.obolibrary.org/obo/OMRSE_00000731	LUB
Tokelau	tkl	tkl		http://purl.obolibrary.org/obo/OMRSE_00000876	TKL
Baluchi	bal	bal		http://purl.obolibrary.org/obo/OMRSE_00000539	BAL
Kamba	kam	kam		http://purl.obolibrary.org/obo/OMRSE_00000690	KAM
Papiamento	pap	pap		http://purl.obolibrary.org/obo/OMRSE_00000801	PAP
Marwari	mwr	mwr		http://purl.obolibrary.org/obo/OMRSE_00000764	MWR
Dyula	dyu	dyu		http://purl.obolibrary.org/obo/OMRSE_00000603	DYU
Haitian	hat	hat	ht	http://purl.obolibrary.org/obo/OMRSE_00000654	HAT
Scots	sco	sco		http://purl.obolibrary.org/obo/OMRSE_00000829	SCO
Gbaya	gba	gba		http://purl.obolibrary.org/obo/OMRSE_00000634	GBA
Croatian	hrv	hrv	hr	http://purl.obolibrary.org/obo/OMRSE_00000664	HRV
Sindhi	snd	snd	sd	http://purl.obolibrary.org/obo/OMRSE_00000844	SND
Kashubian	csb	csb		http://purl.obolibrary.org/obo/OMRSE_00000587	CSB
Buriat	bua	bua		http://purl.obolibrary.org/obo/OMRSE_00000557	BUA
Swati	ssw	ssw	ss	http://purl.obolibrary.org/obo/OMRSE_00000854	SSW
Turkish	tur	tur	tr	http://purl.obolibrary.org/obo/OMRSE_00000888	TUR
Choctaw	cho	cho		http://purl.obolibrary.org/obo/OMRSE_00000575	CHO
Italian	ita	ita	it	http://purl.obolibrary.org/obo/OMRSE_00000680	ITA
Telugu	tel	tel	te	http://purl.obolibrary.org/obo/OMRSE_00000866	TEL
Kosraean	kos	kos		http://purl.obolibrary.org/obo/OMRSE_00000708	KOS
Tuvalu	tvl	tvl		http://purl.obolibrary.org/obo/OMRSE_00000889	TVL
Standard Moroccan Tamazight	zgh	zgh		http://purl.obolibrary.org/obo/OMRSE_00000918	ZGH
Cree	cre	cre	cr	http://purl.obolibrary.org/obo/OMRSE_00000585	CRE
Kara-Kalpak	kaa	kaa		http://purl.obolibrary.org/obo/OMRSE_00000686	KAA
Balinese	ban	ban		http://purl.obolibrary.org/obo/OMRSE_00000541	BAN
Fijian	fij	fij	fj	http://purl.obolibrary.org/obo/OMRSE_00000620	FIJ
Adyghe	ady	ady		http://purl.obolibrary.org/obo/OMRSE_00000512	ADY
Uighur	uig	uig	ug	http://purl.obolibrary.org/obo/OMRSE_00000894	UIG
Ladino	lad	lad		http://purl.obolibrary.org/obo/OMRSE_00000717	LAD
Udmurt	udm	udm		http://purl.obolibrary.org/obo/OMRSE_00000892	UDM
Grebo	grb	grb		http://purl.obolibrary.org/obo/OMRSE_00000647	GRB
Turkmen	tuk	tuk	tk	http://purl.obolibrary.org/obo/OMRSE_00000886	TUK
Selkup	sel	sel		http://purl.obolibrary.org/obo/OMRSE_00000830	SEL
Romansh	roh	roh	rm	http://purl.obolibrary.org/obo/OMRSE_00000815	ROH
Catalan	cat	cat	ca	http://purl.obolibrary.org/obo/OMRSE_00000564	CAT
Inuktitut	iku	iku	iu	http://purl.obolibrary.org/obo/OMRSE_00000673	IKU
Creek	mus	mus		http://purl.obolibrary.org/obo/OMRSE_00000762	MUS
Tsimshian	tsi	tsi		http://purl.obolibrary.org/obo/OMRSE_00000883	TSI
Hausa	hau	hau	ha	http://purl.obolibrary.org/obo/OMRSE_00000655	HAU
Sinhala	sin	sin	si	http://purl.obolibrary.org/obo/OMRSE_00000834	SIN
Mirandese	mwl	mwl		http://purl.obolibrary.org/obo/OMRSE_00000763	MWL
Magahi	mag	mag		http://purl.obolibrary.org/obo/OMRSE_00000739	MAG
Gilbertese	gil	gil		http://purl.obolibrary.org/obo/OMRSE_00000637	GIL
Walloon	wln	wln	wa	http://purl.obolibrary.org/obo/OMRSE_00000907	WLN
Ojibwa	oji	oji	oj	http://purl.obolibrary.org/obo/OMRSE_00000791	OJI
